<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>,
20010103,0:00:00,0.6328,0.6327,0.6332,0.6331,0
20010103,1:00:00,0.633,0.6322,0.6335,0.6324,1
20010103,2:00:00,0.6324,0.6322,0.6329,0.6324,2
20010103,3:00:00,0.6324,0.6318,0.6325,0.6319,3
20010103,4:00:00,0.6319,0.6319,0.6325,0.6324,4
20010103,5:00:00,0.6324,0.6323,0.6326,0.6326,5
20010103,6:00:00,0.6326,0.6326,0.6329,0.6326,6
20010103,7:00:00,0.6326,0.6324,0.6332,0.6326,7
20010103,8:00:00,0.6326,0.6308,0.6327,0.6325,8
20010103,9:00:00,0.6325,0.6324,0.6343,0.6339,9
20010103,10:00:00,0.6339,0.6333,0.635,0.6344,10
20010103,11:00:00,0.6344,0.6337,0.6351,0.635,11
20010103,12:00:00,0.6351,0.6339,0.6353,0.6341,12
20010103,13:00:00,0.6341,0.6318,0.6341,0.6318,13
20010103,14:00:00,0.6319,0.631,0.6325,0.6313,14
20010103,15:00:00,0.6314,0.6291,0.6327,0.63,15
20010103,16:00:00,0.63,0.6276,0.6302,0.6286,16
20010103,17:00:00,0.6285,0.628,0.6304,0.6296,17
20010103,18:00:00,0.6295,0.6279,0.6298,0.628,18
20010103,19:00:00,0.6281,0.6242,0.6284,0.6243,19
20010103,20:00:00,0.6244,0.6212,0.6258,0.6229,20
20010103,21:00:00,0.6229,0.6224,0.6233,0.6228,
20010103,22:00:00,0.6229,0.6221,0.6234,0.6224,
20010103,23:00:00,0.6225,0.6214,0.6226,0.6222,
20010104,0:00:00,0.6222,0.622,0.6235,0.6235,
20010104,1:00:00,0.6235,0.6233,0.6243,0.624,
20010104,2:00:00,0.624,0.6233,0.6242,0.6234,
20010104,3:00:00,0.6234,0.6232,0.6238,0.6236,
20010104,4:00:00,0.6236,0.6236,0.6239,0.6238,
20010104,5:00:00,0.6238,0.6237,0.6244,0.6243,
20010104,6:00:00,0.6243,0.6235,0.6244,0.624,
20010104,7:00:00,0.624,0.6237,0.6254,0.625,
20010104,8:00:00,0.625,0.6249,0.6283,0.6282,
20010104,9:00:00,0.6283,0.6281,0.6308,0.6299,
20010104,10:00:00,0.6298,0.6288,0.6312,0.6308,
20010104,11:00:00,0.6307,0.6301,0.6335,0.6321,
20010104,12:00:00,0.632,0.6299,0.6324,0.632,
20010104,13:00:00,0.6321,0.6305,0.633,0.6328,
20010104,14:00:00,0.6329,0.6315,0.6329,0.6326,
20010104,15:00:00,0.6327,0.6311,0.6329,0.6323,
